               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017518,             0.01169,              0.0259,             0.61668,             0.71789,             0.68192,             0.53101,           0.0080718,           0.0030976,            0.011781,           0.0096634,           0.0096634,           0.0096634
                  36,            0.017968,            0.011818,            0.025337,             0.56929,             0.77005,             0.69253,             0.53362,           0.0091388,           0.0030146,            0.010673,           0.0096535,           0.0096535,           0.0096535
                  37,            0.018785,             0.01171,            0.025263,             0.67544,               0.761,             0.74434,             0.59698,            0.009139,           0.0029331,            0.010835,           0.0096436,           0.0096436,           0.0096436
                  38,            0.019357,            0.011754,            0.025791,             0.48266,             0.76996,             0.69472,             0.54499,           0.0083403,           0.0029198,            0.013136,           0.0096337,           0.0096337,           0.0096337
                  39,            0.019904,            0.011573,            0.026387,             0.58359,             0.79568,             0.74023,             0.58392,           0.0085562,            0.002947,           0.0098869,           0.0096238,           0.0096238,           0.0096238
                  40,            0.019819,             0.01161,             0.02575,             0.62915,             0.79375,             0.75234,             0.59619,           0.0083551,           0.0027906,           0.0092433,           0.0096139,           0.0096139,           0.0096139
                  41,            0.019113,            0.011555,            0.024726,             0.64646,             0.83088,             0.76252,             0.59515,           0.0083437,           0.0028751,            0.010168,            0.009604,            0.009604,            0.009604
                  42,            0.017548,            0.011647,            0.024137,             0.64162,             0.79784,             0.75747,             0.59146,            0.009118,           0.0027702,           0.0093544,           0.0095941,           0.0095941,           0.0095941
                  43,             0.01821,            0.011567,             0.02475,             0.58121,             0.79596,             0.73506,             0.58095,           0.0078171,            0.002866,            0.011852,           0.0095842,           0.0095842,           0.0095842
                  44,            0.017596,             0.01134,            0.024337,             0.65806,             0.77179,              0.7423,             0.59755,           0.0088221,           0.0027883,             0.01069,           0.0095743,           0.0095743,           0.0095743
                  45,            0.018767,            0.011037,            0.024914,             0.66659,             0.80665,             0.80097,             0.63834,           0.0083469,           0.0027523,           0.0082967,           0.0095644,           0.0095644,           0.0095644
                  46,            0.017836,            0.011181,            0.023908,             0.65071,             0.80743,             0.78077,             0.62102,             0.00845,           0.0027213,            0.007934,           0.0095545,           0.0095545,           0.0095545
                  47,            0.018184,            0.011146,            0.024412,             0.65502,             0.70539,             0.76678,             0.59701,           0.0082556,           0.0027956,            0.011017,           0.0095446,           0.0095446,           0.0095446
                  48,            0.016716,            0.010984,            0.022703,             0.70453,             0.81954,             0.83678,             0.66292,           0.0083595,           0.0026962,           0.0080265,           0.0095347,           0.0095347,           0.0095347
                  49,            0.017415,            0.011083,            0.023302,             0.63996,               0.772,             0.79638,             0.62913,           0.0078967,           0.0028305,            0.010203,           0.0095248,           0.0095248,           0.0095248
                  50,            0.016622,            0.010944,            0.023085,             0.73783,             0.84044,             0.85182,             0.69473,            0.008032,           0.0026376,           0.0069434,           0.0095149,           0.0095149,           0.0095149
                  51,            0.017721,            0.011133,              0.0228,             0.73097,             0.74867,             0.85645,             0.68749,           0.0086274,           0.0028905,           0.0081942,            0.009505,            0.009505,            0.009505
                  52,            0.016789,              0.0112,            0.022044,             0.74468,             0.78765,             0.85735,             0.68798,           0.0085659,           0.0028581,            0.006681,           0.0094951,           0.0094951,           0.0094951
                  53,            0.018144,            0.010993,            0.022757,             0.76912,             0.80583,             0.87529,             0.71183,           0.0079459,            0.002719,           0.0061226,           0.0094852,           0.0094852,           0.0094852
                  54,            0.018422,            0.010948,            0.022806,             0.78854,             0.75297,             0.86361,             0.69161,           0.0079457,           0.0027817,           0.0076767,           0.0094753,           0.0094753,           0.0094753
                  55,            0.017431,            0.010997,            0.022504,             0.80071,             0.83594,             0.89561,              0.7275,           0.0077342,           0.0027755,           0.0075966,           0.0094654,           0.0094654,           0.0094654
                  56,            0.017379,            0.011186,            0.022214,             0.81515,             0.77514,             0.89382,             0.73124,           0.0074139,           0.0026756,           0.0072802,           0.0094555,           0.0094555,           0.0094555
                  57,            0.017106,            0.010593,            0.021434,             0.80012,             0.78954,             0.88374,             0.72112,           0.0076081,           0.0027351,           0.0071934,           0.0094456,           0.0094456,           0.0094456
